idx,p_n,p_next,R_n,R_next,delta
4,97,127,0.38226335244901705,0.5966040819578833,0.21434072950886623
7,907,1151,0.43123857579349456,0.44283635831359575,0.011597782520101185
8,1151,1361,0.44283635831359575,0.652963457265088,0.21012709895149223
10,9587,15727,0.4282898882948907,0.47121233351778913,0.04292244522289845
11,15727,19661,0.47121233351778913,0.5320196439018661,0.06080731038407694
12,19661,31469,0.5320196439018661,0.6712508081882684,0.13923116428640236
15,360749,370373,0.5863095913738243,0.6812216880846966,0.0949120967108723
18,1349651,1357333,0.5922407669211925,0.6619741615160564,0.06973339459486383
19,1357333,2010881,0.6619741615160564,0.7025584818822398,0.040584320366183424
22,17051887,20831533,0.6491598081726445,0.7394648021629622,0.09030499399031766
25,122164969,189695893,0.6402542009723925,0.6440618240090524,0.003807623036659935
26,189695893,191913031,0.6440618240090524,0.6817639392053566,0.037702115196304176
28,387096383,436273291,0.639356161414172,0.7125486340982021,0.07319247268403017
30,1294268779,1453168433,0.6542313560286592,0.6560560518776773,0.0018246958490181209
31,1453168433,2300942869,0.6560560518776773,0.6886365408635775,0.03258048898590016
32,2300942869,3842611109,0.6886365408635775,0.6898545270657291,0.001217986202151633
33,3842611109,4302407713,0.6898545270657291,0.719423477078581,0.02956895001285187
36,20678048681,22367085353,0.6806415790355754,0.6937722516580639,0.01313067262248846
37,22367085353,25056082543,0.6937722516580639,0.7953486740277036,0.10157642236963971
41,182226896713,241160624629,0.7050549049988871,0.7075291664582363,0.0024742614593491474
43,297501076289,303371455741,0.7020591923978874,0.7153283783001976,0.013269185902310188
44,303371455741,304599509051,0.7153283783001976,0.7351328942849408,0.0198045159847432
46,416608696337,461690510543,0.7208192486437681,0.7374950319736219,0.016675783329853755
49,738832928467,1346294311331,0.7230483342196113,0.7461593555747039,0.023111021355092576
50,1346294311331,1408695494197,0.7461593555747039,0.7514117106639426,0.005252355089238714
52,1968188557063,2614941711251,0.7512318348254413,0.7975364450905147,0.046304610265073376
54,7177162612387,13829048560417,0.7691658281732932,0.7820572433741725,0.01289141520087933
55,13829048560417,19581334193189,0.7820572433741725,0.8177622030470947,0.0357049596729222
59,171231342421327,218209405437449,0.7503694981860669,0.831125784044525,0.08075628585845807
62,1686994940956727,1693182318747503,0.7516322536470095,0.9206385885573856,0.1690063349103761
67,203986478517457213,218034721194215521,0.7705057907072749,0.7829947984172869,0.012489007710012046
68,218034721194215521,305405826521089141,0.7829947984172869,0.7847486098024177,0.0017538113851307546
69,305405826521089141,352521223451365651,0.7847486098024177,0.8134891682094836,0.028740558407065908
70,352521223451365651,401429925999155063,0.8134891682094836,0.8253247098710306,0.011835541661546989
71,401429925999155063,418032645936713497,0.8253247098710306,0.8321808662328619,0.006856156361831345
72,418032645936713497,804212830686679111,0.8321808662328619,0.8483347066683765,0.0161538404355146
75,5733241593241198219,6787988999657779307,0.7975904728399323,0.8030907409818444,0.005500268141912068
78,17678654157568190587,18361375334787048247,0.7789573674974339,0.7877921621857379,0.008834794688303949
79,18361375334787048247,18470057946260699783,0.7877921621857379,0.7885988091606424,0.0008066469749045124
80,18470057946260699783,18571673432051831671,0.7885988091606424,0.7985636280274189,0.00996481886677647
81,18571673432051831671,20733746510561444539,0.7985636280274189,0.8471840404994766,0.04862041247205773
